140,181,230,1
137,177,229,1
135,174,226,1
133,173,222,1
136,173,223,1
137,174,224,1
140,173,223,1
139,172,221,1
142,174,223,1
148,178,227,1
155,182,232,1
158,186,233,1
161,187,234,1
161,187,234,1
165,188,236,1
164,190,236,1
168,198,239,1
166,199,238,1
166,198,239,1
167,200,239,1
167,199,240,1
140,162,227,1
140,162,227,1
141,163,228,1
142,164,229,1
142,164,229,1
143,165,230,1
145,165,230,1
145,165,230,1
146,166,231,1
146,166,231,1
148,166,231,1
148,166,231,1
148,164,230,1
147,163,229,1
146,162,228,1
145,161,227,1
148,166,229,1
147,165,228,1
149,166,229,1
153,168,231,1
154,167,229,1
151,164,226,1
157,168,230,1
163,174,236,1
158,168,228,1
154,164,224,1
149,159,219,1
148,158,218,1
150,161,221,1
154,166,224,1
155,169,228,1
158,170,228,1
161,169,228,1
162,169,226,1
163,170,227,1
165,172,229,1
161,167,226,1
155,161,220,1
151,159,219,1
154,162,222,1
159,166,229,1
144,151,214,1
132,141,205,1
136,145,209,1
142,150,217,1
139,148,215,1
135,143,210,1
119,143,209,1
73,125,192,1
62,127,195,1
63,128,196,1
62,127,195,1
62,126,191,1
61,125,190,1
63,127,192,1
64,128,193,1
50,112,176,1
55,117,181,1
60,122,186,1
60,122,186,1
57,118,182,1
52,113,175,1
49,110,174,1
48,109,173,1
69,127,192,1
61,117,182,1
64,120,185,1
69,125,190,1
63,119,184,1
62,119,181,1
64,121,183,1
59,116,178,1
69,126,188,1
62,119,180,1
61,118,179,1
67,125,184,1
66,124,183,1
59,117,176,1
58,116,175,1
64,122,181,1
59,117,176,1
59,117,176,1
60,117,178,1
60,118,177,1
60,117,178,1
61,119,178,1
61,118,179,1
61,119,178,1
63,120,181,1
62,120,179,1
60,117,178,1
57,115,174,1
54,111,172,1
53,111,170,1
53,110,171,1
55,112,173,1
59,119,179,1
55,117,177,1
56,116,176,1
55,117,177,1
59,119,179,1
58,120,180,1
59,119,179,1
56,118,178,1
56,116,176,1
55,117,177,1
57,117,177,1
54,116,176,1
55,115,175,1
52,114,174,1
52,112,172,1
54,112,171,1
56,111,168,1
61,111,169,1
63,113,171,1
66,116,174,1
68,118,176,1
69,120,176,1
70,120,178,1
70,121,177,1
73,124,180,1
70,121,177,1
71,118,172,1
75,121,175,1
81,123,176,1
81,121,174,1
142,178,232,1
137,171,224,1
140,176,224,1
137,173,219,1
138,174,220,1
